Case_ID,URL,Job_Title,Monthly_Salary,Raw_JSON
臺灣新竹地方法院 114 年度 勞全 字第 17 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=SCDV%2c114%2c%e5%8b%9e%e5%85%a8%2c17%2c20260126%2c1&ot=in,襄理,96600.0,"{""job_title"": ""襄理"", ""monthly_salary"": 96600, ""currency"": ""TWD""}"
臺灣高等法院 114 年度 勞上 字第 102 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHV%2c114%2c%e5%8b%9e%e4%b8%8a%2c102%2c20260123%2c3&ot=in,,46000.0,"{""job_title"": null, ""monthly_salary"": 46000, ""currency"": ""TWD""}"
臺灣臺北地方法院 114 年度 勞訴 字第 5 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c5%2c20260122%2c2&ot=in,信用卡直效行銷之業務主管,126727.0,"{""job_title"": ""信用卡直效行銷之業務主管"", ""monthly_salary"": 126727, ""currency"": ""TWD""}"
臺灣桃園地方法院 114 年度 勞訴 字第 122 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TYDV%2c114%2c%e5%8b%9e%e8%a8%b4%2c122%2c20260121%2c2&ot=in,,85000.0,"{""job_title"": null, ""monthly_salary"": 85000, ""currency"": ""TWD""}"
臺灣臺北地方法院 115 年度 司他 字第 36 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDV%2c115%2c%e5%8f%b8%e4%bb%96%2c36%2c20260121%2c1&ot=in,,100000.0,"{""job_title"": null, ""monthly_salary"": 100000, ""currency"": ""TWD""}"
臺灣高等法院 114 年度 勞上 字第 112 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHV%2c114%2c%e5%8b%9e%e4%b8%8a%2c112%2c20260120%2c1&ot=in,資訊處開發部人資系統組專案組長,50000.0,"{""job_title"": ""資訊處開發部人資系統組專案組長"", ""monthly_salary"": 50000, ""currency"": ""TWD""}"
臺灣高等法院 114 年度 重勞上 字第 21 號民事判決,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPHV%2c114%2c%e9%87%8d%e5%8b%9e%e4%b8%8a%2c21%2c20260120%2c1&ot=in,資深經理,181197.0,"{""job_title"": ""資深經理"", ""monthly_salary"": 181197, ""currency"": ""TWD""}"
臺灣雲林地方法院 115 年度 勞補 字第 1 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=ULDV%2c115%2c%e5%8b%9e%e8%a3%9c%2c1%2c20260116%2c1&ot=in,,55000.0,"{""job_title"": null, ""monthly_salary"": 55000, ""currency"": ""TWD""}"
臺灣新北地方法院 112 年度 勞訴 字第 216 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=PCDV%2c112%2c%e5%8b%9e%e8%a8%b4%2c216%2c20260116%2c4&ot=in,作業員,45800.0,"{""job_title"": ""作業員"", ""monthly_salary"": 45800, ""currency"": ""TWD""}"
臺灣新竹地方法院 115 年度 勞補 字第 7 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=SCDV%2c115%2c%e5%8b%9e%e8%a3%9c%2c7%2c20260115%2c1&ot=in,,40000.0,"{""job_title"": null, ""monthly_salary"": 40000, ""currency"": ""TWD""}"
臺灣新北地方法院 115 年度 勞訴 字第 8 號民事裁定,https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=PCDV%2c115%2c%e5%8b%9e%e8%a8%b4%2c8%2c20260114%2c1&ot=in,,51284.0,"{""job_title"": null, ""monthly_salary"": 51284, ""currency"": ""TWD""}"
